番号,1501,
名前,守崎 美紅,
呼び名,美紅,
CSTR,10,守崎,;　苗字

;-------年齢指定----------------
CSTR,204,25,
CSTR,205,25,
CSTR,206,25,
 
;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1000,
基礎,気力,1000,
基礎,性耐性,100,
基礎,攻撃,100,
基礎,防御,120,
基礎,敏捷,80,
基礎,知性,120,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,


;-------素質--------------------
素質,おっとり,1,
素質,母乳体質,1,
素質,Ｃ敏感,1,
素質,Ｖ敏感,1,
素質,Ａ敏感,1,
素質,濡れやすい,1,
素質,近距離得意,1,
素質,人間,1,
素質,変身時体格変動,0,
素質,変身時胸サイズ変動,0,
素質,交際相手,4,;　人妻
素質,外見,2,
素質,変身時外見,2,

;-------衣装--------------------
フラグ,40,100,
フラグ,41,200,
フラグ,42,300,
CSTR,8,
CSTR,9,

;-------髪型--------------------
CSTR,12,Ｍ字分け,
CSTR,13,ロングヘア,
CSTR,14,ロングヘア,

;-------目つき------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,255//125//8,
;変身時の髪の色
CSTR,31,255//125//8,
;右目の色
CSTR,32,8//125//255,
;左目の色
CSTR,33,8//125//255,
;変身時の右目の色
CSTR,34,8//125//255,
;変身時の左目の色
CSTR,35,8//125//255,
;肌の色
CSTR,36,255//200//180,
;変身時の肌の色
CSTR,37,255//200//180,
 
;-------武器定義-----------------
CSTR,15,デバ＝セイバー(近)// //通常,
CSTR,16,デバ＝セイバー(中)// //通常,
CSTR,17,デバ＝セイバー(遠)// //通常,
 
;-------キャラフラグ------------
フラグ,10,25,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)

素質,固有キャラ,1,

;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり
 
;変身後の名前
CSTR,0,サイガーローズ,
フラグ,2,1,
 
;変身後の呼び名
CSTR,1,ローズ,
フラグ,3,1,
 
;変身時の名乗り
CSTR,3,燃える炎の熱いバラ！　サイガーローズ！！,
フラグ,5,1,
