番号,1505,
名前,茜島 蘭牙,
呼び名,蘭牙,
CSTR,10,茜島,;　苗字

;-------年齢指定----------------
CSTR,204,26,
CSTR,205,26,
CSTR,206,26,

;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1000,
基礎,気力,1000,
基礎,性耐性,100,
基礎,攻撃,144,
基礎,防御,64,
基礎,敏捷,100,
基礎,知性,100,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,0,

;-------素質--------------------
素質,勝気,1,
素質,Ｃ敏感,1,
素質,Ｖ敏感,1,
素質,Ａ敏感,1,
素質,Ｂ敏感,1,
素質,巨乳,1,
素質,濡れにくい,1,
素質,長身,1,
素質,近距離得意,1,
素質,人間,1,
素質,裕福な実家,1,
素質,交際相手,5,;　未亡人
素質,アクセサリ,3,;　お嬢様
素質,外見,2,
素質,変身時外見,2,

;-------衣装--------------------
フラグ,40,100,
フラグ,41,200,
フラグ,42,300,

;-------髪型--------------------
CSTR,12,Ｍ字分け,
CSTR,13,ウェーブヘア,
CSTR,14,ウェーブヘア,

;-------目つき------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,茶,
;変身時の髪の色
CSTR,31,茶,
;右目の色
CSTR,32,黒,
;左目の色
CSTR,33,黒,
;変身時の右目の色
CSTR,34,黒,
;変身時の左目の色
CSTR,35,黒,
;肌の色
CSTR,36,肌色,
;変身時の肌の色
CSTR,37,肌色,

;-------武器定義-----------------
CSTR,15,// //通常,
CSTR,16,// //通常,
CSTR,17,// //通常,

;-------キャラフラグ------------
フラグ,10,25,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)


;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり

;変身後の名前
CSTR,0,サイガーオーキッド,
フラグ,2,1,

;変身後の呼び名
CSTR,1,オーキッド,
フラグ,3,1,

;変身時のかけ声
CSTR,2,サイガーイン！,
フラグ,4,1,

;変身時の名乗り
CSTR,3,闇に気高く、蘭の花……サイガーオーキッド！,
フラグ,5,1,

;-------固有キャラ----------
素質,固有キャラ,1,

;-------パーソナリティ----------
CSTR,40, 負けず嫌い,
CSTR,41, 気分屋なところがある,
CSTR,42, 詰めが甘い,

