番号,299,;キャラ番号
名前,中間スリーサイズ,;本名
呼び名,中間スリーサイズ,;呼び名
基礎,0,1000,;体力
基礎,1,1000,;気力
基礎,2,100,;性耐性
基礎,10,100,;攻撃
基礎,11,100,;防御
基礎,12,100,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,空中ダッシュ,2
珠,20,200,;修練Ｐ
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100.;私服
フラグ,41,200.;アウタースーツ
フラグ,42,300.;普通の下着
能力,50,1,;キャラのレベル。初期値は1

CSTR,12,ナチュラル,
CSTR,13,ショートヘア,
CSTR,14,ショートヘア,
CSTR,18,普通,

素質,身長成長率乱数,6,;1-11
素質,身長補正乱数,16,;1-31
素質,体重乱数,30,;1-59
素質,胴囲乱数,8,;1-15
素質,腰囲乱数,9,;1-16
素質,アンダー乱数,7,;1-13
素質,胸の張り乱数,12,;1-23
素質,胸成長率乱数,4,;1-7
素質,胸サイズ補正乱数,27,;1-53
