番号,301,;キャラ番号
名前,赤羽 紅葉,;本名
呼び名,紅葉,;呼び名
CSTR,10,赤羽,;　苗字
基礎,0,1400,;体力
基礎,1,1200,;気力
基礎,2,120,;性耐性
基礎,10,150,;攻撃
基礎,11,130,;防御
基礎,12,160,;敏捷
基礎,13,100,;知性
基礎,20,8000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,12,;勝気
素質,114,;回復はやい
素質,104,;A敏感
素質,116,;小柄
素質,180,;近接得意
素質,200,;変身能力あり
素質,201,;人間
経験,40,5,;自慰経験
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,120,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,12,Ｍ字分け,
CSTR,13,ポニーテール,
CSTR,14,ポニーテール,
CSTR,18,普通,

;髪の色
CSTR,30,橙,
CSTR,31,橙,
;瞳の色
CSTR,32,茶,
CSTR,33,茶,
;肌の色
CSTR,34,肌色,

CSTR,15,ツラヌキ・ロッド(近)// //通常,
CSTR,16,ツラヌキ・ロッド(中)// //通常,
CSTR,17,ツラヌキ・ロッド(遠)// //通常,

素質,固有キャラ,1,
