番号,302,;キャラ番号
名前,花園 桃香,;本名
呼び名,桃香,;呼び名
CSTR,10,花園,;　苗字
基礎,0,1200,;体力
基礎,1,1400,;気力
基礎,2,120,;性耐性
基礎,10,120,;攻撃
基礎,11,150,;防御
基礎,12,120,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,17,;楽天家
素質,102,;V敏感
素質,111,;巨乳
素質,116,;小柄
素質,182,;中距離得意
素質,200,;変身能力あり
素質,201,;人間
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,120,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,12,センター分け,
CSTR,13,ツインテール,
CSTR,14,ツインテール,
CSTR,18,普通,

;髪の色
CSTR,30,紫,
CSTR,31,紫,
;瞳の色
CSTR,32,紫,
CSTR,33,紫,
;肌の色
CSTR,34,肌色,

素質,固有キャラ,1,
