番号,303,;キャラ番号
名前,海野 蒼美,;本名
呼び名,蒼美,;呼び名
CSTR,10,海野,;苗字
基礎,0,1500,;体力
基礎,1,1300,;気力
基礎,2,120,;性耐性
基礎,10,120,;攻撃
基礎,11,120,;防御
基礎,12,150,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,7000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,16,;真面目
素質,106,;B敏感
素質,111,;巨乳
素質,117,;大柄
素質,184,;遠距離得意
素質,200,;変身能力あり
素質,201,;人間
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,120,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,12,斜め分け,
CSTR,13,ロングヘア,
CSTR,14,ロングヘア,
CSTR,18,普通,

;髪の色
CSTR,30,青,
CSTR,31,青,
;瞳の色
CSTR,32,緑,
CSTR,33,緑,
;肌の色
CSTR,34,肌色,

CSTR,15,ツラヌキ・アロー(近)// //通常,
CSTR,16,ツラヌキ・アロー(中)// //通常,
CSTR,17,ツラヌキ・アロー(遠)// //通常,

素質,固有キャラ,1,
