番号,312,;キャラ番号
名前,フェイト=テスタロッサ,;本名
呼び名,フェイト,;呼び名
基礎,0,1200,;体力
基礎,1,1300,;気力
基礎,2,100,;性耐性
基礎,10,120,;攻撃
基礎,11,50,;防御
基礎,12,150,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,19,;素直
素質,100,;C敏感
素質,106,;B敏感
素質,180,;近接得意
素質,182,;中距離得意
素質,186,;空中得意
素質,200,;変身能力あり
素質,203,;魔法使い
素質,301,;清純派
フラグ,10,75,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,10,テスタロッサ,;苗字
CSTR,12,センター分け,
CSTR,13,ロングヘア,
CSTR,14,ツインテール,
CSTR,18,普通,

;衣装の名前
CSTR,9,バリアジャケットＦ,

;髪の色
CSTR,30,金,
CSTR,31,金,
;瞳の色
CSTR,32,88//32//0,
CSTR,33,88//32//0,
;肌の色
CSTR,34,肌色,

素質,固有キャラ,1,
