番号,321,;キャラ番号
名前,小泉,;本名
呼び名,泉,;呼び名
基礎,0,900,;体力
基礎,1,850,;気力
基礎,2,115,;性耐性
基礎,10,120,;攻撃
基礎,11,95,;防御
基礎,12,130,;敏捷
基礎,13,100,;知性
基礎,20,7000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,25,;軽い性格
素質,100,;C敏感
素質,180,;近接得意
素質,202,;異能力者
素質,301,;清純派
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,42,300,;普通の下着
CSTR,10,小泉,;苗字
CSTR,12,ナチュラル,
CSTR,13,ショートヘア,
CSTR,14,ショートヘア,
CSTR,18,普通,

;髪の色
CSTR,30,茶
CSTR,31,茶
;瞳の色
CSTR,32,黒
CSTR,33,黒
;肌の色
CSTR,34,肌色

素質,固有キャラ,1
