番号,322,;キャラ番号
名前,朝比奈 みくる,;本名
呼び名,みくる,;呼び名
基礎,0,900,;体力
基礎,1,1350,;気力
基礎,2,100,;性耐性
基礎,10,90,;攻撃
基礎,11,115,;防御
基礎,12,110,;敏捷
基礎,13,100,;知性
基礎,20,7000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,10,;臆病
素質,181,;中距離得意
素質,203,;異能力者
素質,301,;清純派
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,42,300,;普通の下着
CSTR,10,朝比奈,;苗字
CSTR,12,斜め分け
CSTR,13,ロングヘア
CSTR,14,ツインテール
CSTR,18,普通,

;髪の色
CSTR,30,橙
CSTR,31,橙
;瞳の色
CSTR,32,88//88//0
CSTR,33,88//88//0
;肌の色
CSTR,34,肌色

素質,固有キャラ,1

