番号,331,;キャラ番号
名前,八号,;本名
呼び名,ハチ,;呼び名
基礎,0,1000,;体力
基礎,1,1000,;気力
基礎,2,100,;性耐性
基礎,10,100,;攻撃
基礎,11,110,;防御
基礎,12,100,;敏捷
基礎,13,100,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,24,;古風
素質,103,;Ｖ鈍感
素質,105,;A鈍感
素質,111,;巨乳
素質,117,;おおがら
素質,187,;空中苦手
素質,204,;ロボ子
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,42,300,;普通の下着
CSTR,12,ナチュラル,
CSTR,13,ポニーテール,
CSTR,14,ポニーテール,
CSTR,18,普通,

;髪の色
CSTR,30,銀
CSTR,31,銀
;瞳の色
CSTR,32,赤
CSTR,33,赤
;肌の色
CSTR,34,色白

素質,固有キャラ,1

