番号,333,;キャラ番号
名前,奈々,;本名
呼び名,奈々,;呼び名
基礎,0,550,;体力
基礎,1,550,;気力
基礎,2,25,;性耐性
基礎,10,20,;攻撃
基礎,11,20,;防御
基礎,12,20,;敏捷
基礎,13,100,;知性
基礎,20,1000,;射精
基礎,21,1000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,19,;素直
素質,100,;C敏感
素質,102,;V敏感
素質,104,;A敏感
素質,106,;B敏感
素質,110,;貧乳
素質,112,;ぬれやすい
素質,115,;回復遅い
素質,116,;小柄
素質,187,;空中苦手
素質,201,;人間
素質,301,;清純派
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,42,300,;普通の下着
CSTR,12,ナチュラル,
CSTR,13,ショートヘア,
CSTR,14,ショートヘア,
CSTR,18,普通,

;髪の色
CSTR,30,茶
CSTR,31,茶
;瞳の色
CSTR,32,茶
CSTR,33,茶
;肌の色
CSTR,34,肌色

素質,固有キャラ,1
