番号,341,;キャラ番号
名前,藤堂 晴香,;本名
呼び名,晴香,;呼び名
;-------年齢指定----------------
CSTR,204,大学生,
CSTR,205,実年齢に合わせる,
CSTR,206,実年齢に合わせる,

基礎,0,1100,;体力
基礎,1,1200,;気力
基礎,2,80,;性耐性
基礎,10,105,;攻撃
基礎,11,105,;防御
基礎,12,105,;敏捷
基礎,13,110,;知性
基礎,20,10000,;射精
基礎,21,10000,;噴乳
基礎,22,2,;空中ダッシュ
素質,0,;処女
素質,16,;真面目
素質,111,;巨乳
素質,114,;回復はやい
素質,102,;V敏感
素質,104,;A敏感
素質,201,;人間
素質,301,;清純派
素質,160,;寄生　はじめから寄生されている
フラグ,10,25,;変身能力のあるキャラの変身前の能力がどれくらい減るか(デフォルトは25%)
フラグ,11,110,;変身能力のあるキャラのSP変身後の能力がどれくらい増えるか(デフォルトは110%)
フラグ,40,100,;私服
フラグ,41,200,;アウタースーツ
フラグ,42,300,;普通の下着
CSTR,10,藤堂,;苗字
CSTR,12,Ｍ字分け,
CSTR,13,ポニーテール,
CSTR,14,ポニーテール,
CSTR,18,普通,

;髪の色
CSTR,30,125//125//125
CSTR,31,125//125//125
;瞳の色
CSTR,32,茶
CSTR,33,茶
;肌の色
CSTR,34,肌色

素質,固有キャラ,1

