;----------------------------------------------------------,
;主題用STR,
;0～99 日本語の上の句,
0,愛
1,夢
2,正義
3,平和
4,少女
5,怪盗
6,神風
7,魔法
8,仮面
9,美少女
10,宝石
11,不思議
12,聖天
13,恋する
14,永遠の
15,天空の
16,星空の
17,秘密の
18,遙かなる
19,黄金
20,白銀
21,鋼鉄
22,機械仕掛けの
23,流星
24,精霊
25,究極☆
26,絶対☆
;100～199 英語の上の句,
100,プリンセス
101,ウェディング
102,ナース
103,ウィッチ
104,マジカル
105,リリカル
106,マジック
107,アキハバラ
108,アトミック
109,パピヨン
110,コレクター・
111,ハイパー
112,セーラー
113,ブレザー
114,スク水
115,トワイライト
116,エターナル
117,レリック
118,プリズム
119,イノセント
120,デュエル
;200～299 日本語の下の句,
200,少女
201,戦士
202,怪盗
203,探偵団
204,三姉妹
205,魔女
206,戦隊
207,警察
208,天使
209,姫
210,物語
211,騎士
212,天女
213,伝説
214,革命
215,お姫様
216,忍
217,守護者
218,人形
219,乙女
220,戦姫
221,騎士
222,巫女
223,女神
;300～399 英語の下の句,
300,ガール
301,ウィッチ
302,SOS
303,エンジェル
304,ドール
305,ポリス
306,スリー
307,ファイブ
308,セブン
309,ナイト
310,プリンセス
311,マギカ
312,ファイター
313,ローゼ
314,フェアリー
315,エグゼキュート
316,ペンタグラム
317,ヘキサグラム
318,クルセイダー
319,ブレイブ
320,カラミティ
321,シスターズ
322,カプリチオ
323,プロジェクト
324,ハート
;400～499 ひらがな,
400,すくらんぶる
401,さてぃすふぁくしょん
402,まっしぐら！
403,ものがたり
404,にきいてみて！
405,はれのちくもり
406,ごーいんぐ！
407,のいうとおりっ
408,ぱーふぇくと！
409,あるてぃめいと
410,たいにー！
411,えくすとら
412,はいてんしょん！

;----------------------------------------------------------,
;名称用STR 冠名と変身後名に使用,
;500～599 マジカル的な単語,
500,マジカル
501,トランス
502,ウェディング
503,エンジェル
504,セイント
505,セーラー
506,ブレザー
507,スク水
508,プリティ
509,ラブリー
510,コレクター・
511,ミュウ
512,キュア
513,プリンセス
514,ワンダー
515,ファンシー
516,クリーミィ
;600～699 天体の名前,
600,サン
601,ムーン
602,マーズ
603,マーキュリー
604,ジュピター
605,ヴィーナス
606,サターン
607,ウラヌス
608,ネプチューン
609,プルート
610,スター
611,コメット
612,ミーティア
613,ソル
614,ルナ
615,テラ
616,ステラ
;700～799 色の名前,
700,レッド
701,イエロー
702,グリーン
703,ブルー
704,ホワイト
705,ブラック
706,ピンク
707,パープル
;800～899 果物、野菜など植物の名前,
800,ピーチ
801,レモン
802,リンゴ
803,イチゴ
804,メロン
805,オレンジ
806,ベリー
807,ミント
808,レタス
809,ローズ
810,デイジー
811,サルビア
812,リリィ
813,ザクロ
814,トマト
815,マーガレット
816,アイリス
817,パンジー
818,コスモス
819,ダリア
820,マリーゴールド
821,アプリコット
822,ライム
823,プラム
824,キャロット
825,オリーブ
826,ペパーミント
827,ラベンダー
828,ジャスミン
829,ライラック
830,シナモン
