番号,104,
名前,天道 一花,
呼び名,一花,
CSTR,10,天道,;　苗字
CSTR,4,ぼく,;　一人称
フラグ,8,26,;　一人称設定
;-------年齢指定----------------
CSTR,204,11,;実年齢指定
CSTR,205,11,;年齢指定
CSTR,206,11,;変身時年齢指定
;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1000,
基礎,気力,900,
基礎,性耐性,100,
基礎,攻撃,100,
基礎,防御,100,
基礎,敏捷,110,
基礎,知性,120,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,2,
;-------素質--------------------
素質,処女,1,
素質,パイパン,1,
素質,臆病,1,
素質,Ｃ鈍感,1,
素質,Ｖ敏感,1,
素質,Ａ鈍感,1,
素質,Ｂ敏感,1,
素質,貧乳,1,
素質,濡れやすい,1,
素質,回復早い,1,
素質,小柄,1,
素質,空中得意,1,
素質,魔法使い,1,
素質,清純派,1,
素質,献身的,1,
素質,保守的,1,
素質,男性苦手,1,
素質,学生,1,;　小学生
素質,アクセサリ,1,;　メガネっ娘
;-------FEAT--------------------
素質,魔力貯蔵,1,
素質,空中浮遊,1,
;-------衣装--------------------
フラグ,40,100,;　私服
フラグ,41,200,;　オリジナルスーツ　
フラグ,42,300,;　普通の下着
;-------髪型--------------------
CSTR,12,ナチュラル,
CSTR,13,おさげ,
CSTR,14,おさげ,

;-------目つき--------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,88//8//8,
;変身時の髪の色
CSTR,31,88//8//8,
;右目の色
CSTR,32,88//8//8,
;左目の色
CSTR,33,88//8//8,
;変身時の右目の色
CSTR,34,88//8//8,
;変身時の左目の色
CSTR,35,88//8//8,
;肌の色
CSTR,36,肌色,
;変身時の肌の色
CSTR,37,肌色,
;-------武器定義-----------------
CSTR,15,魔女箒// //設置,
CSTR,16,宝石呪詛// //知略,
CSTR,17,宝石呪詛// //知略,
;-------キャラフラグ------------
フラグ,10,25,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)
;-------パーソナリティ----------
CSTR,40,不安な時はもじもじする,
CSTR,41,勘が鋭い,
CSTR,42,家事万能,
;-------キャラメイクボーナス----------
フラグ,50,-5,;体力
フラグ,52,-20,;性耐性
フラグ,54,-10,;防御
フラグ,55,20,;敏捷
フラグ,56,20,;知性
;-------体型数値指定----------
素質,体型乱数値指定,339535184384,
素質,体型成長曲線指定,12100038999756,
;キャラの体型をCSVに記述する場合は上記２つあればＯＫだが、
;以下の乱数指定を利用することもできる
;不要であれば削除すること
;-------体型乱数指定----------
素質,身長成長率乱数,1,
素質,身長補正乱数,12,
素質,体重乱数,38,
素質,胴囲乱数,15,
素質,腰囲乱数,1,
素質,アンダー乱数,7,
素質,胸の張り乱数,2,
素質,胸成長率乱数,5,
素質,胸サイズ補正乱数,36,
;-------------------------------------------------------------------------------------
;EXPORT VER 0.390
;生成終了=============================================================================
