番号,105,
名前,五十嵐 小夜,
呼び名,小夜,
CSTR,10,五十嵐,;　苗字
CSTR,4,わたし,;　一人称
フラグ,8,1,;　一人称設定
;-------年齢指定----------------
CSTR,204,16,;実年齢指定
CSTR,205,8,;年齢指定
CSTR,206,16,;変身時年齢指定
;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1000,
基礎,気力,1000,
基礎,性耐性,100,
基礎,攻撃,100,
基礎,防御,120,
基礎,敏捷,80,
基礎,知性,120,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,2,
;-------素質--------------------
素質,処女,1,
素質,パイパン,1,
素質,おっとり,1,
素質,貧乳,2,
素質,濡れにくい,1,
素質,ヴァンパイア,1,
素質,清純派,1,
素質,避妊結界,1,
素質,社交的,1,
素質,喧嘩上等,1,
素質,両刀,1,
素質,学生,3,;　高校生
素質,アクセサリ,3,;　お嬢様
素質,外見,4,;　スレンダー
素質,変身時外見,4,
;-------FEAT--------------------
素質,夜魔の貴族,1,
素質,剛腕,1,
素質,有翼,1,
;-------衣装--------------------
フラグ,40,100,;　私服
フラグ,41,201,;　プリティスカート　
フラグ,42,300,;　普通の下着
;-------髪型--------------------
CSTR,12,斜め分け,
CSTR,13,ロングヘア,
CSTR,14,ロングヘア,
;-------目つき--------------------
CSTR,18,普通,
;-------プロフィール-------------
;髪の色
CSTR,30,40//24//24,
;変身時の髪の色
CSTR,31,40//24//24,
;右目の色
CSTR,32,40//24//24,
;左目の色
CSTR,33,40//24//24,
;変身時の右目の色
CSTR,34,8//255//125,
;変身時の左目の色
CSTR,35,40//24//24,
;肌の色
CSTR,36,255//200//180,
;変身時の肌の色
CSTR,37,255//200//180,
;-------武器定義-----------------
CSTR,15,攻性障壁// //装甲,
CSTR,16,攻性障壁// //装甲,
CSTR,17,穿つ魔眼// //知略,
;-------キャラフラグ------------
フラグ,10,25,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)
;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり
;-------パーソナリティ----------
CSTR,40,隠れた努力家,
CSTR,41,布団中毒患者,
CSTR,42,カスタードプリンが大好物,
;-------キャラメイクボーナス----------
フラグ,50,-10,;体力
フラグ,51,-10,;気力
フラグ,52,10,;性耐性
フラグ,53,-15,;攻撃
フラグ,54,20,;防御
フラグ,56,20,;知性
;-------オプション系素質----------
素質,変身時体格変動,1,
;-------体型数値指定----------
素質,体型乱数値指定,33990079248,
素質,体型成長曲線指定,202334212974678,
;キャラの体型をCSVに記述する場合は上記２つあればＯＫだが、
;以下の乱数指定を利用することもできる
;不要であれば削除すること
;-------体型乱数指定----------
素質,身長成長率乱数,5,
素質,身長補正乱数,10,
素質,体重乱数,7,
素質,胴囲乱数,4,
素質,腰囲乱数,1,
素質,アンダー乱数,9,
素質,胸の張り乱数,13,
素質,胸成長率乱数,7,
素質,胸サイズ補正乱数,52,
;-------------------------------------------------------------------------------------
;EXPORT VER 0.390
;生成終了=============================================================================
