番号,106,
名前,天野 美紗緒,
呼び名,美紗緒,
CSTR,10,天野,;　苗字
 
;-------年齢指定----------------
CSTR,204,10,;実年齢指定
CSTR,205,10,;年齢指定
CSTR,206,10,;変身時年齢指定
 
;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1000,
基礎,気力,1000,
基礎,性耐性,81,
基礎,攻撃,100,
基礎,防御,121,
基礎,敏捷,144,
基礎,知性,100,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,2,
 
;-------素質--------------------
素質,処女,1,
素質,パイパン,1,
素質,恥ずかしがり屋,1,
素質,濡れやすい,1,
素質,近距離得意,1,
素質,中距離得意,1,
素質,遠距離得意,1,
素質,空中得意,1,
素質,人間,1,
素質,清純派,1,
素質,内向的,1,
素質,恥じらい,1,
素質,上品,1,
素質,学生,1,;　小学生
素質,外見,4,;　スレンダー
素質,変身時外見,4,
;-------FEAT--------------------
素質,平凡,1,
素質,巻き込まれ体質,1,
素質,秘められし力,1,
 
;-------衣装--------------------
フラグ,40,100,;　私服
フラグ,41,201,;　プリティスカート　
フラグ,42,300,;　普通の下着
 
;-------髪型--------------------
CSTR,12,ナチュラル,
CSTR,13,ロングヘア,
CSTR,14,ロングヘア,
 
;-------目つき--------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,8//8//112,
;変身時の髪の色
CSTR,31,255//255//8,
;右目の色
CSTR,32,8//255//125,
;左目の色
CSTR,33,8//255//125,
;変身時の右目の色
CSTR,34,255//125//8,
;変身時の左目の色
CSTR,35,255//125//8,
;肌の色
CSTR,36,色白,
;変身時の肌の色
CSTR,37,色白,
 
;-------武器定義-----------------
CSTR,15,// //通常,
CSTR,16,// //通常,
CSTR,17,// //通常,
 
;-------キャラフラグ------------
フラグ,10,25,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)
 
;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり
 
;変身後の名前
CSTR,0,ピクシィミサ,
フラグ,2,1,
 
;変身後の呼び名
CSTR,1,ピクシィミサ,
フラグ,3,1,

;変身時のかけ声
CSTR,2,変身
フラグ,4,1,;変身時のかけ声を設定しない時は削除

;変身時の名乗り
CSTR,3,破壊と混沌とカオスを愛する悪の魔法少女、ピックシィーーー、ミッサ！！,
フラグ,5,1,
 
;-------固有キャラ----------
素質,固有キャラ,1,

;-------口上指定----------------
素質,口上設定,106


;-------パーソナリティ----------
CSTR,40,ファザコン,
CSTR,41,ピアノが得意,
CSTR,42,鍵っ子,
 
;-------キャラメイクボーナス----------
フラグ,50,-20,;体力
フラグ,51,-20,;気力
フラグ,55,-20,;敏捷
フラグ,56,20,;知性
 
;-------オプション系素質----------
素質,変身時胸サイズ変動,1,
;-------体型数値指定----------
素質,体型乱数値指定,444264990433,
素質,体型成長曲線指定,211001114989968,
 
;-------体型乱数指定----------
素質,身長成長率乱数,1,
素質,身長補正乱数,21,
素質,体重乱数,6,
素質,胴囲乱数,14,
素質,腰囲乱数,2,
素質,アンダー乱数,5,
素質,胸の張り乱数,7,
素質,胸成長率乱数,6,
素質,胸サイズ補正乱数,4,


;-------------------------------------------------------------------------------------
;EXPORT VER 0.390
;生成終了=============================================================================
