■バージョンアップで増えた地の文一覧
　※ 黒丸の付いている口上は操作キャラでないときに表示される口上
　   地の文はMESSAGE_OTHER.ERBにまとめて記述
　　 口上テンプレも別途用意

・別人改造版0.17
　コマンド
　　Ｖ挿入防御				MESSAGE_BATTLE_CHARA_ANTI_V
　　　口上				KOJO_0_BATTLE_CHARA_ANTI_V
　　　洗脳/悪堕ち			KOJO_0_OTHER_BATTLE_CHARA_ANTI_V

・別人改造版0.16
　幽閉
　　子触手に犯される			PRISON_COM_7
　　　口上				KOJO_0_PRISON_COM_7

・別人改造版0.12
　触手の性行動
　　イラマチオ				MESSAGE_SEX_COM12
　　　口上				KOJO_0_SEX_COM12
　　　洗脳/悪堕ち			KOJO_0_OTHER_SEX_COM12

　鍛錬関連
　　戦術研究				MESSAGE_TRAINING_TACTICS


・β３
　洗脳/悪堕ち関係
　　洗脳になった			MESSAGE_PRISON_SENNOU
　　悪堕ちになった			MESSAGE_PRISON_AKUOTI
　　初めて洗脳キャラと対峙した		MESSAGE_ENCOUNT_SENNOU_FIRST
　　始めて悪堕ちキャラと対峙した	MESSAGE_ENCOUNT_AKUOTI_FIRST
　　洗脳キャラと対峙			MESSAGE_ENCOUNT_SENNOU
　　悪堕ちキャラと対峙			MESSAGE_ENCOUNT_AKUOTI
    洗脳中キャラの救出			MESSAGE_BATTLE_END_RESCUE_SENNOU
    ・洗脳中キャラの救出された側	MESSAGE_OTHER_BATTLE_END_RESCUED_SENNOU

    ・洗脳/悪堕ちキャラの登場時						MESSAGE_OTHER_ENTRY
　　・洗脳/悪堕ちキャラが操作キャラを変身強制解除させた			MESSAGE_OTHER_BATTLE_CHARA_TRANSRELEASE
　　・洗脳/悪堕ちキャラが操作キャラに撤退されてしまった			MESSAGE_OTHER_BATTLE_CHARA_TETTAI_SUCCESS
　　・洗脳/悪堕ちキャラが操作キャラの撤退を防いだ			MESSAGE_OTHER_BATTLE_CHARA_TETTAI_FALSE
　　・洗脳/悪堕ちキャラが操作キャラの攻撃をクリティカルヒットされた	MESSAGE_OTHER_BATTLE_CHARA_ATTACK_CRITICAL_HIT
　　・洗脳/悪堕ちキャラが操作キャラの攻撃を通常ヒットされた		MESSAGE_OTHER_BATTLE_CHARA_ATTACK_HIT
　　・洗脳/悪堕ちキャラが操作キャラの攻撃を回避した			MESSAGE_OTHER_BATTLE_CHARA_ATTACK_FALSE
　　・洗脳/悪堕ちキャラが操作キャラの防御を見た				MESSAGE_OTHER_BATTLE_CHARA_DEFENSE
　　・洗脳/悪堕ちキャラが操作キャラの距離をとるを見た			MESSAGE_OTHER_BATTLE_CHARA_TAKEAWAY
　　・洗脳/悪堕ちキャラが操作キャラの何もしないを見た			MESSAGE_OTHER_BATTLE_CHARA_NOACTION
